Estacion,Provincia,2014,2015,2016,2017,2018,2019,2020,2021,2022,Gestion,Nivel
AV001,Avila,30.67,,,18.57,,8.99,2.31,4.3,,CSM,1
AV002,Avila,,,,,,1.14,0.88,1.21,,CCM,1
AV006,Avila,5.53,,,11.78,,,,,,EDS,2
AV008,Avila,13.22,,,7.74,,,,,,CSM,2
AV012,Avila,27.96,,,21.41,,,5.19,,,CCM,2
AV010,Avila,,7.84,,11.81,,9.94,1.85,3.33,,CCM,1
AV019,Avila,,3.51,4.87,2.47,1.92,2.11,1.53,1.02,,L,1
AV026,Avila,,8.52,8.89,,,1.11,0.48,1.92,,L,1
BU001 ,Burgos,2.27,3.62,6.3,7.83,3.64,4.56,6.32,6.04,,L,1
BU002,Burgos,6.56,2.85,8.99,7.39,7.87,4.31,5.04,8.02,,CCM,1
BU003,Burgos,6.95,11.8,8.01,4.37,4.83,11.56,4.55,6.19,,CCM,1
BU004,Burgos,1.33,1.27,3.63,3.43,1.96,3.1,0.64,2.22,,CCM,1
BU005,Burgos,,4.56,0.13,,,0.25,1.42,0.1,,L,1
BU006,Burgos,2.35,,12.06,9.12,7.64,0.48,10.95,15.05,,V,1
BU058,Burgos,,3.27,,6.54,3.8,2.33,5.95,11.93,,L,1
BU073,Burgos,7.99,,,2.78,1.98,4.16,5.2,7.13,,V,1
BU066,Burgos,0.73,,,0.3,,,,,,L,2
BU067,Burgos,1.84,,,1.96,,,,,,L,2
BU068,Burgos,0.01,,,,,,,,,L,2
BU069,Burgos,1.03,,,0.89,,,,,,L,2
BU070,Burgos,4.41,,,2.77,,,,,,CCM,2
BU071,Burgos,0.59,,,1.21,,,,,,CCM,2
BU072,Burgos,3.41,,,1.97,,,,,,V,2
BU073,Burgos,7.98,,,2.78,,,,,,V,2
BU074,Burgos,4.02,,,3.41,,,,,,V,2
BU075,Burgos,0.13,,,0.22,,,,,,L,2
BU076,Burgos,2.21,,,0.94,,,,,,L,2
BU077,Burgos,4.12,,,0.11,,,,,,L,2
LE001,Leon,7.99,13.81,14.46,12.68,6.75,13.86,12.35,5.77,6.16,CCM,1
LE002,Leon,1.13,3.58,1.84,2.03,1.83,1.84,2.22,6.61,5.88,CM,1
LE003,Leon,,4.96,1.76,,4.89,5.52,10.6,7.58,9.62,CM,1
LE004,Leon,,11.73,10.39,17.53,11.47,12.9,12.98,17.36,18.46,L,1
LE005,Leon,6.96,11.31,16.28,17.98,11.17,14.5,12.4,17.45,13.61,CCM,1
LE006,Leon,,1.95,6.09,6.1,9.68,9.96,12.78,16.7,13.84,CM,1
LE007,Leon,,5.61,7.22,19.57,5.58,5.32,,,,CSM,1
LE008,Leon,4.08,3.43,8.52,8.4,6.68,10.37,10.2,11.51,15.7,CCM,1
LE009,Leon,0.79,6.61,9.74,11.61,5.01,4.48,7.37,4.89,5.16,L,1
LE010,Leon,2.6,4.29,4.37,8.98,8.4,25.34,12.29,14.64,12.41,L,1
LE011,Leon,,,25.25,,,22.01,,,26.07,L,2
LE012,Leon,,,17.53,,,16.83,,,10.66,L,2
LE013,Leon,,,8.22,,,17.27,,,29.59,CCM,2
LE014,Leon,,,7.3,,,9.37,,,8.54,CCM,2
LE015,Leon,,,9.89,,,5.51,,,12.2,L,2
LE016,Leon,,,4.65,,,4.87,,,5.91,L,2
LE018,Leon,,,5.42,,,4.24,,,1.4,L,2
LE021,Leon,,,19.59,,,7.55,,,10.59,L,2
LE024,Leon,,,39.2,,,21.27,,,8.49,L,2
LE036,Leon,,,5.93,,,,,,2.43,CM,2
LE037,Leon,,,,,,,,,0.62,L,2
LE043,Leon,,,14.53,,,13.05,,,7.75,L,2
LE044,Leon,,,4.47,,,10.19,,,21.05,L,2
LE047,Leon,,5.61,7.22,19.57,5.58,10.75,8.49,9.61,7.96,CCM,1
LE049,Leon,,,11.54,,,5.14,,,6.34,CSM,2
LE055,Leon,,,7.6,,,5.13,,,5.86,L,2
LE057,Leon,,,9.08,,,4.95,,,4.82,L,2
LE062,Leon,,,,,,6.06,,,8.61,L,2
LE063,Leon,,,2.14,,,16.84,,,27.22,L,2
LE065,Leon,,,,,,8.03,,,8.44,L,2
LE066,Leon,,,,,,5.18,,,9.02,CSM,2
LE067,Leon,,,,,,1.95,,,3.41,L,2
LE068,Leon,,,1.55,,,6.58,,,6.55,L,2
LE069,Leon,,,1.98,,,5.01,,,15.96,L,2
LE070,Leon,,,3.82,3.97,7.39,6.85,4.9,10.98,14.42,L,1
LE189,Leon,,2.16,,3.52,1.9,4.51,2.14,9.94,7.35,L,1
LE071,Leon,7.87,,,1.69,,,5.24,,,V,2
LE072,Leon,3.15,,,6.09,,,9.3,,,L,2
LE073,Leon,2.9,,,4.32,,,12.66,,,L,2
LE074,Leon,7.58,,,4.6,,,18.07,,,L,2
LE075,Leon,10.44,,,15.15,,,19.3,,,L,2
