Estacion,Provincia,2014,2015,2016,2017,2018,2019,2020,2021,2022,Gestion,Nivel
AV001,Avila,0.99,,,0.66,,0.19,0.09,0.2,,CSM,1
AV002,Avila,,,,,,0.02,0.02,0.02,,,
AV006,Avila,0.21,,,0.38,,,,,,EDS,2
AV008,Avila,0.2,,,0.24,,,,,,CSM,2
AV012,Avila,0.79,,,0.92,,,0.36,,,CCM,2
AV010,Avila,,0.39,,0.93,,0.58,0.08,0.2,,CCM,1
AV019,Avila,,0.17,0.16,0.08,0.07,0.09,0.08,0.02,,L,1
AV026,Avila,,0.41,0.11,,0.05,0.07,0.03,0.11,,L,1
BU001,Burgos,0.08,0.13,0.14,0.17,0.04,0.1,0.17,0.12,,L,1
BU002,Burgos,0.1,0.07,0.23,0.29,0.17,0.09,0.14,0.12,,CCM,1
BU003,Burgos,,0.09,0.06,0.07,0.05,0.14,0.12,0.11,,CCM,1
BU004,Burgos,0.02,0.02,0.13,0.09,0.04,0.06,0.03,0.02,,CCM,1
BU005,Burgos,,0.13,0.005,,,0.003,0.01,0.006,,L,1
BU006,Burgos,0.02,,0.17,0.16,0.08,0.03,0.07,0.09,,V,1
BU058,Burgos,,0.25,,0.26,0.15,0.08,0.21,0.75,,L,1
BU073,Burgos,0.33,,,0.13,0.21,0.34,0.36,0.3,,V,1
BU066,Burgos,0.01,,,0.01,,,,,,L,2
BU067,Burgos,0.02,,,0.02,,,,,,L,2
BU068,Burgos,0.002,,,,,,,,,L,2
BU069,Burgos,0.08,,,0.04,,,,,,L,2
BU070,Burgos,0.04,,,0.11,,,,,,CCM,2
BU071,Burgos,0.02,,,0.13,,,,,,CCM,2
BU072,Burgos,0.29,,,0.06,,,,,,V,2
BU073,Burgos,0.32,,,0.13,,,,,,V,2
BU074,Burgos,0.03,,,0.17,,,,,,V,2
BU075,Burgos,0.01,,,0.01,,,,,,L,2
BU076,Burgos,0.03,,,0.05,,,,,,L,2
BU077,Burgos,0.02,,,0.02,,,,,,L,2
LE001,Leon,0.2,0.27,0.58,0.73,0.57,1.02,0.43,0.36,0.29,CCM,1
LE002,Leon,0.05,0.21,0.04,0.13,0.17,0.07,0.16,0.5,0.3,CM,1
LE003,Leon,,0.19,0.08,,0.06,0.07,0.15,0.17,0.18,CM,1
LE004,Leon,,0.57,0.63,0.46,0.55,0.41,0.64,0.7,1.4,L,1
LE005,Leon,0.1,0.19,0.45,0.37,0.52,0.4,0.69,0.59,0.37,CCM,1
LE006,Leon,,0.03,0.14,0.33,0.67,0.48,0.26,0.5,0.44,CM,1
LE007,Leon,,0.07,0.12,0.46,0.17,0.11,,,,CSM,1
LE008,Leon,0.06,0.11,0.25,0.26,0.28,0.39,0.34,0.29,0.73,CCM,1
LE009,Leon,0.01,0.26,0.21,0.29,0.11,0.21,0.27,0.16,0.33,L,1
LE010,Leon,0.04,0.1,0.05,0.19,0.24,0.74,0.2,0.22,0.25,L,1
LE011,Leon,,,0.61,,,0.85,,,0.6,L,2
LE012,Leon,,,0.26,,,0.56,,,0.42,L,2
LE013,Leon,,,0.17,,,0.35,,,0.59,CCM,2
LE014,Leon,,,0.12,,,0.15,,,0.13,CCM,2
LE015,Leon,,,0.25,,,0.22,,,0.56,L,2
LE016,Leon,,,0.08,,,0.38,,,0.79,L,2
LE018,Leon,,,0.16,,,0.13,,,0.29,L,2
LE021,Leon,,,0.28,,,0.14,,,0.12,L,2
LE024,Leon,,,0.53,,,0.56,,,0.28,L,2
LE036,Leon,,,0.06,,,,,,0.01,CM,2
LE037,Leon,,,,,,,,,0.003,L,2
LE043,Leon,,,0.27,,,0.27,,,0.15,L,2
LE044,Leon,,,0.07,,,0.2,,,0.41,L,2
LE047,Leon,,,0.31,0.36,0.35,0.39,0.48,0.42,0.62,CCM,1
LE049,Leon,,,0.37,,,0.16,,,0.4,CSM,2
LE055,Leon,,,0.24,,,0.3,,,0.23,L,2
LE057,Leon,,,0.29,,,0.33,,,0.17,L,2
LE062,Leon,,,,,,0.53,,,0.63,L,2
LE063,Leon,,,0.15,,,1.47,,,0.98,L,2
LE065,Leon,,,,,,0.1,,,0.18,L,2
LE066,Leon,,,,,,0.1,,,0.2,CSM,2
LE067,Leon,,,,,,0.11,,,0.13,L,2
LE068,Leon,,,0.15,,,0.18,,,0.28,L,2
LE069,Leon,,,0.07,,,0.12,,,0.4,L,2
LE070,Leon,,,0.09,0.2,0.19,0.13,0.25,0.41,0.4,L,1
LE189,Leon,,0.1,,0.03,0.06,,0.16,0.48,0.18,L,1
LE071,Leon,0.23,,,0.1,,,0.06,,,V,2
LE072,Leon,0.02,,,0.15,,,0.08,,,L,2
LE073,Leon,0.13,,,0.06,,,0.39,,,L,2
LE074,Leon,0.38,,,0.11,,,0.32,,,L,2
LE075,Leon,0.17,,,0.26,,,0.36,,,L,2
LE076,Leon,,,,,,,0.14,,,L,2
LE077,Leon,0.05,,,0.21,,,0.32,,,L,2
LE078,Leon,0,,,0.19,,,0.22,,,EDS,2
LE079,Leon,0.04,,,0.32,,,0.08,,,L,2
LE081,Leon,0.27,,,0.03,,,0.12,,,V,2
LE082,Leon,0.09,,,0.06,,,0.11,,,L,2
LE083,Leon,0.03,,,0.06,,,0.09,,,L,2
LE084,Leon,0.37,,,0.27,,,0.7,,,V,2
LE085,,0.04,,,0.12,,,0.18,,,CCM,2
LE086,Leon,0.04,,,0.28,,,0.56,,,L,2
LE087,Leon,0.05,,,0.15,,,0.18,,,L,2
LE088,,,,,,,,0.43,,,L,2
LE089,Leon,0.09,,,0.16,,,0.31,,,L,2
LE090,Leon,0.06,,,0.003,,,0.12,,,V,2
LE091,Leon,0.04,,,0.03,,,0.05,,,L,2
LE092,Leon,0.08,,,0.38,,,0.1,,,L,2
LE093,Leon,0.04,,,0.29,,,0.15,,,L,2
LE094,Leon,0.14,,,0.22,,,0.14,,,L,2
LE095,Leon,0.26,,,0.42,,,,,,L,2
LE096,Leon,0.03,,,0.25,,,0.1,,,L,2
LE097,Leon,0.03,,,0.09,,,0.1,,,L,2
